😀	ابتسامة سعيد face smile happy
😁	ضحك أسنان سعيد grin
😂	ضحك دموع فضيحة lol joy
🤣	ضحك أرضا rofl
😊	ابتسامة خجول ودود blush
😍	حب عيون قلوب love
🤩	نجمة إعجاب مذهول starstruck
😎	نظارات رائع كول cool
🤔	تفكير تفكّر thinking
😉	غمزة عين wink
😢	بكاء حزن دمعة cry sad
😭	صراخ بكاء قوي sob
😡	غضب زعلان angry
🥳	احتفال حفلة party
😱	خوف صدمة رعب scream
😈	شيطان مؤذن devil
🤯	انفجار عقل mind blown
🥰	حب قلوب عاشق adore
😴	نوم نعاس سب sleep
🤖	روبوت ذكاء آلي robot ai
👍	إعجاب موافق لايك thumbs up
👎	رفض عكس thumbs down
👏	تصفيق برافو clap
🙌	تأليه هوراي رفع hands
🤝	مصافحة اتفاق تعاون handshake
✌️	سلام فوز peace victory
🤞	تمنيات حظ أصابع crossed luck
💪	قوة عضلات strong muscle
🙏	شكر دعاء أرجو thanks pray
👆	إشارة أعلى نقطة point up
🔥	نار رائع ترند fire hot
⭐	نجمة تقييم star
✨	لمعان سحر بريق sparkle shine
💯	مئة كامل درجة perfect hundred
⚡	برق سرعة طاقة zap lightning
🎉	احتفال فرح حفلة tada party
🏆	كأس فوز جائزة trophy win
🚀	صاروخ إطلاق rocket launch
💎	ماسة جوهرة قيمة diamond gem
👑	تاج ملك ملكة crown king
🐱	قطة مياو cat
🐶	كلب عواء dog puppy
🦁	أسد زئير lion
🐼	باندا panda
🐸	ضفدع frog
🦊	ثعلب fox
🐻	دب bear
🐨	كوالا koala
🐯	نمر tiger
🦉	بومة owl
🦋	فراشة butterfly
🐢	سلحفاة turtle
🐙	أخطبوط octopus
🦄	وحيد قرن unicorn
🌸	زهرة ساكورا cherry blossom
🌵	صبار cactus
🌴	نخلة شجرة palm
🌙	قمر ليل moon night
☀️	شمس صيف sun
🌈	قوس قزح rainbow
☕	قهوة كافيه coffee tea
🍕	بيتزا pizza
🍫	شوكولاتة chocolate
🍓	فراولة strawberry
🍉	بطيخ watermelon
🍔	برغر برجر burger
🍟	بطاطس مقلية fries
🍩	دونات doughnut
🍰	كيك حلويات cake
🥤	مشروب عصير soda
🍗	دجاج لحم chicken
🥗	سلطة صحة salad
🍯	عسل نحل honey
🧁	كب كيك muffin
🍿	فشار popcorn
🌮	تاكو taco
🥐	كرواسون خبز croissant
🫒	زيتون olive
🥛	حليب milk
🍵	شاي أخضر green tea
⚽	كرة قدم لعب football soccer
🏀	سلة كرة basketball
🎮	لعبة قيمر غيم gaming game
🎧	سماعات موسيقى headphones
📚	كتب دراسة قراءة books study
🎯	هدف دقة تسديد target dart
🎲	نرد حظ dice
🎸	قيطارة غيتار guitar
🎹	بيانو موسيقى piano
🚴	دراجة ركوب cycling bike
🏊	سباحة swimming
🎳	بولينج bowling
🎤	ميكروفون غناء microphone sing
🎨	فن رسم لوحة art paint
🧩	بازل لغز puzzle
♟️	شطرنج chess
🛹	سكيت بورد skate
🎿	تزلج ثلج ski
🥊	ملاكمة boxing
🚗	سيارة car
✈️	طائرة سفر plane travel
🚢	سفينة بحر ship
🗺️	خريطة خارطة map
🏝️	جزيرة عطلة island
🏔️	جبل قمة mountain
🗼	برج إيفل tower
🗽	تمثال الحرية liberty
🕌	مسجد mosque
🕋	الكعك مكة kaaba
🎡	عجلة فيريس ferris
🏥	مستشفى طبيب hospital
🏦	بنك مال bank
🏫	مدرسة school
🚂	قطار ترين train
🛴	سكوتر scooter
🚁	هليكوبتر طيارة helicopter
⛵	يخت شراع sailboat
🛰️	قمر صناعي satellite
📱	هاتف موبايل جوال phone
💻	لابتوب حاسوب laptop computer
⌚	ساعة ذكية watch
📷	كاميرا تصوير camera photo
🔋	بطارية شحن battery
🔑	مفتاح key
💡	فكرة مصباح idea bulb
🛒	سلة تسوق عربة cart shopping
🎁	هدية إهداء gift present
💼	حقيبة عمل شغل briefcase
✏️	قلم رصاص كتابة pencil
📌	دبوس تثبيت pin
🔒	قفل أمان lock secure
🧠	دماغ ذكاء brain smart
🪄	عصا سحر wand magic
🧸	دبدوب دمية teddy
🧿	خنفساء حماية نظرة evil eye
💸	فلوس نقود أموال money cash
🛠️	أدوات صيانة tools fix
❤️	قلب حب أحمر heart love red
🧡	قلب برتقالي heart
💛	قلب أصفر heart
💚	قلب أخضر heart
💙	قلب أزرق heart
💜	قلب بنفسجي heart
🖤	قلب أسود heart black
🤍	قلب أبيض heart white
✅	صح موافق تم check done
❌	خطأ لا إلغاء x wrong
❗	تعجب مهم exclamation
❓	سؤال استفهام question
💤	نوم زز sleep zzz
♻️	تدوير بيئة recycle
⚠️	تحذير خطر warning
